report_edition,report_year,campus_id,campus,family,geography,count,status,source_url,pdf_pages,note
2026,2023,122409001,San Diego,unfounded,not_geographically_split,1,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=10,10,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2023,122409001,San Diego,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=10,10-11,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2024,122409001,San Diego,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=10,10,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2024,122409001,San Diego,hate_crimes,not_geographically_split,4,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=10,10-11,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2025,122409001,San Diego,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=10,10,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2025,122409001,San Diego,hate_crimes,not_geographically_split,8,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=10,10-11,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2023,122409002,Imperial Valley,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=15,15,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2023,122409002,Imperial Valley,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=15,15,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2024,122409002,Imperial Valley,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=15,15,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2024,122409002,Imperial Valley,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=15,15,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2025,122409002,Imperial Valley,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=15,15,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2025,122409002,Imperial Valley,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=15,15,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2023,122409003,Georgia,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=19,19,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2023,122409003,Georgia,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=19,19,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2024,122409003,Georgia,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=19,19,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2024,122409003,Georgia,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=19,19,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2025,122409003,Georgia,unfounded,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=19,19,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
2026,2025,122409003,Georgia,hate_crimes,not_geographically_split,0,reported_narrative_total,https://police.sdsu.edu/_resources/files/asr_2026_newdraft.pdf#page=19,19,Source narrative total retained separately; hate classification may overlap crime categories; no addition to criminal_total.
